date,code,owner,dy,p_return,bps,eps
20080930,A004980,1331,0,-1.65,19709.19,-4057.39
20080930,A013520,0,0,9.15,22913.19,-2688.27
20080930,A004380,1339,5.86,-1.19,3411.84,-75.38
20080930,A001200,44,0,-5.04,976.21,-205.07
20080930,A010690,0,5.62,-1.36,4810.5,239.07
20080930,A005680,61,2.38,0.6,19206.44,463.38
20080930,A002030,5221,1.27,-0.65,137245.69,2267.37
20080930,A012200,1260,4.1,-1.12,3741.16,137.2
20080930,A001250,125,8.71,-0.22,6224.28,2590.54
20080930,A001880,0,0,-3.5,11071.96,-361.96
20080930,A000540,14982,0,5.65,2729.43,-381.7
20080930,A014280,0,3.28,10.62,25392.4,1024.26
20080930,A084010,8531,6.46,-1.94,61772.15,18003.6
20080930,A033240,2212,3.44,1.08,7632.76,494.25
20080930,A012160,0,0,0,32614.05,5682.48
20080930,A001360,0,0,1.19,4519.46,83.56
20080930,A067830,0,0,-1.14,3257.86,5.34
20080930,A015360,0,4.81,-2.03,49987.18,4238.68
20080930,A011280,0,2.5,-0.51,2043.55,99.55
20080930,A007810,972,0,-3.48,5555.08,36.11
20080930,A136490,0,0,0,0,0
20080930,A007700,0,2.5,0.33,6968.18,531.68
20080930,A090350,0,4.2,-0.26,7652.01,235.2
20080930,A010820,0,0,-5.21,689.58,34.91
20080930,A001940,61,2.54,0,139418.05,15475.54
20080930,A005390,0,0,-0.53,13690.65,605.09
20080930,A007540,0,1.07,-4.96,29421.13,1045.82
20080930,A069640,0,0,0,12068.61,187.89
20080930,A006490,0,0,-0.51,2203.41,27.6
20080930,A002880,252,0,-2.99,978.53,-2.69
20080930,A091090,32,1.71,-0.99,3788.39,388.36
20080930,A002360,0,0,-7.95,605.22,-100.4
20080930,A001790,0,0.97,0,119901.54,1717.44
20080930,A007660,0,4.74,-2.26,3228.94,342.32
20080930,A084680,0,0,1.45,542.88,-2151.62
20080930,A068400,0,0,0,4798.96,35.93
20080930,A004540,0,0,-3.15,3141.47,-3403.7
20080930,A092200,0,2.51,-0.94,5185.53,188.72
20080930,A037270,0,8.7,-1.09,3235.23,-303.61
20080930,A011090,0,0,2.46,1548.45,11.73
20080930,A004960,229,3.66,0.45,31162.12,1838.28
20080930,A130660,0,0,0,36282.88,8170.53
20080930,A021820,251,1.3,-0.83,111514.46,14667.1
20080930,A084870,41,0,0.18,7421.85,-769.72
20080930,A900050,0,0,0,1674.64,963.24
20080930,A000490,0,2.36,0.8,30097.05,-2856.56
20080930,A012610,0,3.13,-4.13,27347.11,3612
20080930,A001270,182,6.12,11.36,26664.91,1347.96
20080930,A000040,0,0,-4.23,628.21,-82.8
20080930,A044450,7,1.83,-2.9,8311.94,-1690.35
20080930,A025560,0,0,-2.13,267.64,-209.95
20080930,A227840,0,0,0,0,0
20080930,A100250,0,5.3,1.48,2480.25,116.96
20080930,A002840,1352,2.64,-0.22,51729.6,9808.17
20080930,A035150,0,0,0,2231.64,-1030.64
20080930,A004830,0,1.5,0.22,3266.82,33.55
20080930,A033530,2619,5.79,-0.4,7889.47,710.59
20080930,A004200,37,0,-2.82,25948.14,858.37
20080930,A103590,0,0,0,3921.96,-654.84
20080930,A009440,5886,1.87,0,4918.55,360.68
20080930,A005750,0,0,-0.78,3935.58,-116.27
20080930,A016880,31108,0,-1.69,0,-1394.97
20080930,A005980,0,2.73,-1.31,31812.22,171.51
20080930,A003460,0,5.43,4.51,28275.97,1459.79
20080930,A034300,0,3.66,-3.64,36244.26,525.9
20080930,A003230,0,1.41,-14.96,10223.58,2629.83
20080930,A026890,0,6.85,-5.33,2498.56,71.12
20080930,A007980,0,4.72,2.82,30862.91,-112.29
20080930,A163560,0,0,0,0,0
20080930,A100840,8776,2.22,0.12,20718.82,4293.64
20080930,A117580,0,0,0,0,0
20080930,A092440,0,3.02,11.11,9938.37,761.49
20080930,A058860,0,0,0,22037.51,3444.27
20080930,A005870,0,0,-0.91,5751.21,-1024.33
20080930,A004310,0,2.95,0.17,3732.55,124.12
20080930,A011930,34,0.43,-5.19,3888.07,421.48
20080930,A006220,0,0,14.71,11066.42,1424.71
20080930,A002150,0,0,0,7774.83,1610.01
20080930,A013570,0,1.93,-2.41,5270.68,-339.64
20080930,A019440,0,0,0,14646.93,1749.12
20080930,A002460,0,1.89,-0.94,30627.91,492.45
20080930,A001390,0,4.24,-1.35,17434.94,574.51
20080930,A004910,0,7.08,-0.87,5239.59,302.81
20080930,A006380,19266,0,-1.09,2496.82,-457.96
20080930,A009160,9534,3.17,-0.59,3412.31,925.53
20080930,A019300,0,1.92,-0.86,2445.94,148.46
20080930,A002310,0,0,-3.56,24238.85,366.66
20080930,A063160,0,5.81,-1.08,9399.12,1670.84
20080930,A002170,0,1.33,0,58310.96,-6487.45
20080930,A094280,0,0,-5.49,2181.01,-851.61
20080930,A009310,0,0,-1.6,4311.5,70.2
20080930,A003650,0,10.17,-0.94,51789.21,12336.88
20080930,A075180,0,5.85,-0.34,5818.89,883.43
20080930,A016710,0,3.96,-2.46,11904.35,989.26
20080930,A041650,0,9.24,0,2966.17,285.44
20080930,A003160,0,0,-1.34,3922.24,-115.71
20080930,A002300,140,0.99,1.89,62150.82,-741.14
20080930,A001820,0,1.25,-0.85,3089.69,166.92
20080930,A123690,0,0,0,0,0
20080930,A016090,0,2.42,-1.42,1597.5,12.86
20080930,A030210,0,0,-2.6,6569.02,-264.59
20080930,A003280,0,1.51,0.57,2471.21,-64.74
20080930,A005110,0,0,-0.85,1177.05,-49.17
20080930,A014130,0,0,-2.13,12355.52,2451.43
20080930,A016610,13027,0,-2.4,11044.4,159.09
20080930,A015890,0,4.16,0.87,4695.63,766.46
20080930,A004870,0,0,-2.02,273.11,-282.75
20080930,A000890,0,1.92,-2.6,39802.03,2632.02
20080930,A006370,2138,3.78,0,29902.88,1787.58
20080930,A004890,197,3.11,1.46,76046.94,22694.93
